transaction_id,order_id,payment_method,amount,transaction_date
220,252,upi,2564.04,2024-12-25
221,253,wallet,6321.21,2025-09-23
222,254,card,593.28,2023-01-24
223,255,card,246.09,2025-04-16
224,256,upi,711.04,2025-11-06
225,257,card,3045.84,2025-07-25
226,258,card,3253.1,2025-12-30
227,259,upi,960.24,2024-04-24
228,260,wallet,1695.08,2023-10-26
229,261,upi,1521.24,2024-01-31
230,264,upi,4303.8,2023-06-13
231,265,cod,3496.59,2025-09-07
232,266,upi,7075.44,2025-12-27
233,267,upi,1500.81,2024-04-24
234,268,card,6317.72,2025-04-12
235,269,upi,4568.76,2023-11-27
236,270,card,9606.66,2025-12-26
237,271,upi,581.7,2025-11-08
238,272,upi,804.38,2024-12-31
239,273,upi,3081.75,2024-09-18
240,275,cod,2268.68,2025-12-14
241,276,card,2541.68,2023-01-06
242,277,cod,1160.79,2025-11-09
243,278,upi,751.36,2024-07-05
244,279,wallet,3441.12,2025-12-26
245,280,cod,8005.55,2024-03-14
246,281,wallet,778.82,2024-01-11
247,282,upi,1996.26,2024-12-11
248,283,card,1533.15,2025-03-26
249,284,upi,1738.6,2024-11-03
250,285,upi,2157.98,2023-02-05
251,286,card,10803.88,2023-08-12
252,287,card,1010.11,2024-03-31
253,288,cod,499.76,2023-12-27
254,289,card,2808.18,2024-12-20
255,290,wallet,562.66,2025-12-05
256,291,upi,856.7,2024-12-04
257,292,upi,5557.06,2024-11-02
258,293,cod,5813.3,2023-03-17
259,294,wallet,4348.62,2023-12-07
260,295,cod,2315.58,2025-06-24
261,296,upi,1020.6,2025-07-18
262,297,upi,1049.1,2023-07-30
263,298,card,690.9,2025-02-06
264,299,upi,1333.96,2025-08-29
265,300,upi,13552.66,2025-11-12
266,301,wallet,2517.81,2024-06-11
267,302,cod,1877.95,2024-03-19
268,303,card,2810.26,2023-03-28
269,304,wallet,842.0,2023-11-30
270,305,card,1541.48,2023-04-22
271,306,upi,1236.26,2024-09-18
272,307,upi,6061.08,2023-10-05
273,308,card,2899.08,2025-10-03
274,309,upi,6423.0,2023-08-12
275,310,card,1680.58,2023-03-09
276,311,cod,269.17,2025-10-25
277,312,upi,547.15,2024-11-21
278,313,cod,4993.6,2024-11-19
279,314,cod,4902.54,2024-12-21
280,315,upi,6061.08,2023-03-10
281,316,card,3742.8,2023-03-30
282,318,upi,5899.0,2024-05-09
283,319,upi,1893.9,2024-08-06
284,321,upi,3647.64,2024-11-09
285,322,card,918.46,2024-07-12
286,323,card,574.31,2025-05-29
287,324,card,7184.76,2024-10-05
288,325,upi,1887.98,2023-03-12
289,326,card,2915.85,2024-08-06
290,327,card,2344.23,2024-02-08
291,328,cod,249.88,2024-02-08
292,329,upi,5568.51,2023-09-17
293,331,upi,5026.2,2023-10-06
294,332,card,1372.86,2023-06-08
295,333,upi,976.33,2024-12-24
296,334,cod,3861.2,2025-06-18
297,335,upi,1602.06,2025-10-31
298,336,upi,1816.29,2023-10-14
299,337,card,8631.92,2023-01-07
300,338,card,1813.08,2024-09-16
301,339,cod,2653.72,2025-12-19
302,340,upi,2324.58,2023-10-22
303,341,cod,3907.12,2024-01-22
304,342,card,1025.68,2025-10-18
305,343,card,5376.54,2024-12-26
306,344,card,10489.77,2024-11-19
307,345,upi,778.82,2025-03-22
308,346,card,1895.86,2023-07-29
309,347,card,2549.16,2024-05-31
310,349,upi,1663.1,2024-11-19
311,350,upi,1474.95,2024-12-18
312,352,upi,1178.28,2025-04-18
313,353,card,12113.08,2023-07-15
314,354,upi,367.03,2024-06-16
315,355,cod,5345.55,2023-01-12
316,356,card,1654.8,2023-10-25
317,357,card,2141.0,2023-05-03
318,358,upi,267.57,2023-12-08
319,359,cod,1938.69,2025-10-24
320,360,upi,1538.52,2025-10-29
321,361,upi,3142.08,2023-12-02
322,362,upi,10937.92,2024-10-07
323,363,card,3835.34,2023-11-21
324,364,wallet,3138.64,2023-10-31
325,365,wallet,6787.89,2024-07-06
326,366,upi,4341.14,2025-11-16
327,367,upi,1515.27,2025-10-28
328,368,cod,2192.92,2025-10-13
329,369,upi,2933.73,2025-11-14
330,370,upi,759.02,2025-08-26
331,371,upi,4356.64,2023-07-14
332,372,cod,728.36,2023-01-21
333,374,upi,16056.76,2023-03-15
334,375,wallet,2192.92,2023-10-21
335,377,upi,1748.16,2024-08-08
336,378,upi,5474.4,2025-11-15
337,379,upi,854.68,2025-01-21
338,380,card,1405.13,2025-01-28
339,381,upi,7539.3,2024-06-13
340,382,upi,3545.04,2025-08-28
341,383,card,1961.96,2025-01-02
342,384,cod,930.74,2025-12-12
343,385,card,9704.44,2023-03-10
344,386,card,1270.84,2024-01-17
345,387,cod,589.14,2024-12-19
346,388,card,1225.62,2024-01-05
347,389,card,635.1,2024-02-28
348,390,upi,1330.89,2024-02-18
349,391,cod,1066.56,2025-07-13
350,392,wallet,2130.01,2023-10-10
351,393,upi,702.96,2025-03-23
352,394,upi,1631.97,2023-09-19
353,395,upi,936.06,2024-12-05
354,396,card,9027.88,2024-10-29
355,397,cod,2430.2,2023-09-01
356,398,upi,4466.43,2024-11-16
357,399,upi,7278.33,2023-07-20
358,400,cod,5557.06,2024-10-19
359,401,upi,4900.52,2025-01-29
360,402,upi,385.37,2023-11-15
361,403,card,1284.23,2023-10-25
362,404,upi,2278.0,2023-11-10
363,405,cod,269.17,2023-02-20
364,406,card,3470.96,2024-10-15
365,407,upi,2079.64,2024-11-24
366,409,upi,342.26,2023-04-30
367,410,card,2653.72,2023-12-26
368,411,wallet,1000.54,2025-12-14
369,412,upi,7440.4,2024-09-26
370,413,upi,4651.05,2024-07-02
371,414,upi,1779.84,2024-04-29
372,415,upi,734.06,2024-09-21
373,416,card,4214.14,2025-05-09
374,417,card,1641.45,2023-03-09
375,418,upi,711.04,2024-06-22
376,419,upi,281.33,2023-03-31
377,420,wallet,271.1,2023-05-04
378,421,wallet,407.21,2024-03-04
379,422,upi,604.36,2023-07-26
380,423,wallet,5571.8,2023-09-17
381,424,cod,3030.54,2024-05-21
382,425,upi,1110.62,2025-09-14
383,426,cod,2498.41,2025-11-27
384,427,cod,1583.34,2024-07-19
385,429,cod,1163.4,2024-09-30
386,430,wallet,7080.52,2024-01-10
387,431,card,560.06,2025-08-02
388,432,card,1601.11,2025-11-30
389,433,cod,6056.54,2023-01-19
390,434,card,2818.74,2023-02-17
391,435,upi,3264.3,2025-02-21
392,436,card,4083.57,2025-12-09
393,437,cod,8028.38,2023-11-16
394,438,card,781.41,2024-12-04
395,439,card,11626.6,2023-01-21
396,440,upi,637.29,2025-04-05
397,441,cod,1744.62,2024-08-01
398,442,upi,989.29,2025-12-17
399,443,cod,3955.02,2025-11-21
400,445,upi,1813.08,2023-09-17
401,446,upi,3337.36,2024-11-29
402,447,upi,269.17,2023-07-03
403,449,cod,6502.95,2025-05-07
404,450,upi,3482.37,2024-09-09
405,451,cod,1518.04,2024-05-14
406,452,upi,1653.96,2025-12-21
407,453,wallet,1297.93,2025-09-16
408,454,cod,2526.0,2025-03-30
409,456,cod,762.05,2023-08-02
410,457,upi,8392.29,2023-09-19
411,458,upi,2380.53,2024-12-16
412,459,wallet,3403.02,2025-03-30
413,460,upi,518.08,2023-12-27
414,461,card,1090.58,2024-09-24
415,462,upi,341.59,2023-12-15
416,463,card,895.52,2025-09-20
417,464,upi,637.29,2024-06-24
418,465,upi,788.1,2023-11-27
419,466,card,1641.45,2025-07-20
420,468,upi,2041.2,2025-04-12
421,470,cod,5784.33,2024-11-09
422,471,cod,1946.28,2024-02-24
423,472,upi,1236.26,2023-09-03
424,473,card,1792.18,2025-01-02
425,474,card,1955.82,2025-04-13
426,475,upi,2000.94,2024-11-16
427,476,card,361.14,2024-06-11
428,477,cod,3334.9,2025-04-01
429,478,card,1101.09,2023-05-18
430,479,upi,1823.82,2023-02-05
431,481,wallet,2797.43,2025-03-25
432,482,upi,4738.29,2024-09-26
433,483,cod,2256.97,2023-12-14
434,484,upi,4716.96,2025-01-17
435,485,card,280.74,2024-01-21
436,486,wallet,9588.35,2024-01-18
437,487,card,13323.39,2025-05-19
438,488,card,4029.02,2025-12-16
439,489,upi,731.18,2025-12-24
440,490,card,4432.35,2023-11-25
441,492,cod,684.52,2023-10-13
442,493,card,2920.22,2023-08-25
443,494,upi,6672.2,2023-10-14
444,495,upi,1893.9,2025-03-23
445,496,upi,2277.06,2025-04-30
446,497,card,819.1,2024-05-12
447,498,upi,531.21,2023-12-16
448,499,wallet,1287.88,2023-12-10
449,500,card,4215.39,2024-01-02
450,501,wallet,4776.33,2025-07-04
451,502,cod,1444.22,2024-03-22
452,503,card,3309.9,2023-10-16
453,504,card,1266.45,2025-08-13
454,505,card,10026.36,2023-07-21
455,506,upi,1032.9,2025-11-20
456,507,cod,3640.8,2024-03-24
457,508,upi,2600.92,2025-06-03
458,509,card,460.29,2024-08-18
459,510,card,5547.98,2025-02-08
460,511,upi,2141.0,2024-12-26
461,513,upi,1406.6,2025-11-16
462,514,card,1489.5,2024-10-12
463,515,card,255.46,2024-09-30
464,516,wallet,1062.42,2025-05-15
465,517,upi,12519.94,2024-06-08
466,518,wallet,3007.66,2024-02-16
467,519,card,1441.23,2024-12-18
468,520,card,3720.2,2024-05-11
469,521,upi,1872.12,2023-08-26
470,522,card,725.36,2024-11-04
471,523,card,1076.68,2024-01-20
472,524,upi,604.36,2024-08-16
473,525,upi,2126.84,2025-08-08
474,526,cod,3743.28,2025-12-10
475,528,wallet,1387.06,2023-04-18
476,529,upi,1893.38,2025-10-30
477,530,upi,2699.18,2025-12-10
478,531,upi,1247.76,2024-04-17
479,532,wallet,2045.42,2024-02-26
480,533,card,4803.33,2024-06-09
481,534,card,3187.26,2023-05-04
482,535,card,624.07,2025-01-22
483,537,card,5994.84,2023-09-20
484,538,wallet,245.31,2024-06-09
485,539,upi,4214.14,2025-07-31
486,540,upi,1396.11,2023-03-29
487,543,card,1403.7,2025-09-16
488,544,upi,1942.94,2023-07-05
489,546,card,2020.22,2023-02-13
490,547,cod,2808.18,2025-05-21
491,548,upi,5935.74,2023-03-20
492,549,cod,5839.02,2024-11-22
493,550,cod,2113.35,2025-08-08
494,551,cod,6259.97,2025-01-21
495,552,upi,7658.1,2025-08-16
496,553,card,1233.58,2024-11-22
497,554,upi,725.37,2023-02-27
498,555,upi,3079.86,2023-08-13
499,556,upi,1027.25,2025-10-09
500,557,upi,1631.97,2023-06-18
501,558,cod,283.17,2024-01-23
502,559,cod,6502.95,2024-04-10
503,560,cod,5388.57,2025-03-22
504,561,card,1388.26,2025-12-28
505,562,card,5812.32,2025-05-13
506,563,card,1849.98,2023-06-17
507,564,wallet,1156.11,2023-03-20
508,565,upi,3861.0,2024-07-09
509,566,upi,2001.08,2023-06-30
510,567,cod,165.49,2024-03-15
511,568,card,653.46,2024-11-29
512,570,cod,2600.92,2024-01-22
513,571,upi,1732.38,2024-04-01
514,572,cod,607.64,2025-12-31
515,573,upi,3860.6,2025-05-16
516,575,card,813.3,2024-06-29
517,576,card,1961.73,2025-03-08
518,577,upi,3100.35,2025-12-10
519,578,upi,1470.43,2023-12-12
520,579,cod,2363.36,2025-07-01
521,580,card,1796.19,2025-04-11
522,581,card,16400.97,2023-05-19
523,583,cod,5855.97,2023-04-01
524,584,card,677.85,2023-05-03
525,586,card,6321.21,2023-02-18
526,587,card,6684.24,2025-04-30
527,588,upi,2722.38,2024-11-03
528,589,upi,2262.63,2025-11-11
529,590,card,1316.95,2023-12-06
530,591,upi,1634.12,2025-10-01
531,592,upi,2309.84,2025-11-16
532,593,wallet,2620.89,2024-07-21
533,594,cod,6015.32,2024-03-10
534,595,wallet,367.87,2024-09-13
535,596,upi,2563.9,2025-07-12
536,598,card,1781.85,2024-12-09
537,599,wallet,6404.44,2023-09-14
538,600,cod,560.06,2023-01-24
539,601,upi,561.48,2025-07-21
540,604,card,2517.81,2023-11-29
541,605,card,2163.04,2025-08-29
542,607,upi,6749.4,2023-07-17
543,608,wallet,581.7,2024-12-21
544,609,cod,4268.05,2025-12-25
545,611,upi,367.03,2023-03-26
546,612,upi,1998.28,2023-09-18
547,613,card,1154.92,2023-12-24
548,614,card,1052.04,2025-12-20
549,615,upi,3045.84,2023-09-18
550,616,upi,2575.76,2023-12-10
551,618,cod,2503.8,2023-12-14
552,619,upi,6520.48,2025-08-26
553,620,upi,2843.79,2023-12-09
554,621,upi,4069.76,2025-04-04
555,622,upi,2673.9,2025-12-27
556,624,card,356.41,2023-11-11
557,625,upi,1680.58,2024-02-21
558,627,cod,5215.8,2023-02-11
559,628,card,545.29,2025-11-06
560,629,upi,1578.06,2025-12-23
561,630,card,3473.37,2024-05-17
562,631,card,3211.5,2025-11-04
563,632,card,82.03,2023-09-30
564,633,upi,1777.83,2024-03-24
565,634,card,973.14,2025-01-16
566,635,cod,7080.52,2023-12-04
567,636,wallet,1569.32,2024-12-30
568,637,card,2079.64,2024-11-17
569,639,card,1725.38,2025-07-12
570,640,upi,5839.02,2024-01-09
571,641,card,961.45,2024-10-31
572,642,cod,1937.44,2024-07-13
573,644,upi,6306.18,2024-09-22
574,645,wallet,6838.46,2024-06-07
575,646,upi,464.31,2023-02-12
576,650,upi,1538.52,2025-11-11
577,651,wallet,10147.6,2025-01-03
578,652,wallet,2176.2,2025-10-24
579,653,upi,550.26,2025-05-25
580,654,upi,1220.98,2024-12-01
581,656,upi,1323.45,2023-08-29
582,657,card,1156.11,2023-02-08
583,658,card,195.92,2025-11-18
584,661,upi,2163.04,2023-02-07
585,662,upi,2326.16,2024-09-04
586,663,cod,4651.05,2025-11-26
587,664,card,2808.18,2023-03-04
588,665,card,3007.66,2025-12-31
589,666,card,3984.57,2025-04-28
590,667,upi,1418.58,2023-11-29
591,668,card,826.32,2025-12-15
592,670,wallet,2612.25,2023-11-25
593,671,cod,464.31,2025-11-09
594,672,upi,1502.72,2023-10-29
595,673,cod,6790.56,2025-09-10
596,674,wallet,1698.72,2025-08-14
597,675,wallet,983.3,2025-01-04
598,677,upi,9243.06,2023-12-16
599,678,upi,1599.76,2023-08-02
600,679,cod,2401.74,2024-04-26
601,680,upi,574.31,2023-07-03
602,681,upi,318.87,2024-09-12
603,682,upi,704.45,2024-11-10
604,683,upi,2002.17,2025-03-29
605,684,cod,7080.52,2024-03-02
606,685,upi,2774.12,2024-05-04
607,687,upi,593.28,2024-02-15
608,688,wallet,3592.38,2023-05-02
609,689,card,2325.27,2025-10-06
610,690,upi,7495.23,2023-07-16
611,691,upi,854.68,2023-03-12
612,693,upi,604.14,2025-08-19
613,694,upi,447.76,2025-04-20
614,695,upi,7692.76,2023-05-21
615,696,card,275.13,2024-12-16
616,697,upi,2484.3,2025-09-18
617,698,upi,3647.64,2025-11-18
618,699,cod,269.88,2024-09-19
619,700,card,407.21,2025-09-14
620,701,upi,848.3,2024-02-01
621,702,upi,2278.28,2023-02-05
622,703,wallet,2976.4,2023-07-18
623,704,upi,331.96,2023-11-17
624,705,wallet,4226.7,2023-02-20
625,707,cod,1132.48,2025-12-31
626,708,card,842.22,2025-10-15
627,709,wallet,4464.6,2024-09-08
628,710,upi,7075.44,2024-05-04
629,711,card,2669.56,2023-12-27
630,712,card,1735.48,2024-10-21
631,713,cod,7739.4,2023-06-11
632,714,card,2967.87,2025-05-10
633,715,upi,725.37,2024-01-13
634,716,card,5545.0,2025-06-18
635,717,card,1502.72,2023-05-05
636,718,upi,4719.7,2023-11-23
637,719,wallet,1221.63,2025-07-26
638,721,upi,544.11,2024-12-25
639,722,upi,653.91,2024-10-27
640,723,upi,18779.91,2025-12-21
641,724,card,1094.3,2024-12-28
642,727,card,3023.22,2024-04-30
643,728,upi,3289.38,2025-11-14
644,729,cod,3184.22,2023-08-07
645,731,card,3564.2,2025-04-21
646,732,cod,8882.26,2023-08-06
647,733,wallet,2914.41,2023-01-17
648,734,cod,303.82,2023-03-22
649,735,upi,839.52,2024-08-27
650,736,wallet,3501.3,2023-11-06
651,737,wallet,1647.32,2025-03-03
652,738,upi,453.27,2024-10-07
653,739,cod,9280.85,2024-03-02
654,740,card,19474.08,2024-10-13
655,741,cod,2972.13,2025-03-09
656,742,cod,1998.28,2025-02-23
657,743,card,814.42,2023-06-22
658,744,upi,1354.9,2023-11-08
659,747,upi,2399.64,2025-11-29
660,748,card,2373.12,2024-06-20
661,749,upi,9027.88,2023-03-14
662,750,upi,2051.12,2024-03-11
663,751,upi,2186.88,2023-12-03
664,753,upi,802.71,2025-12-13
665,754,card,1523.35,2025-12-08
666,755,upi,4464.6,2024-10-10
667,756,upi,2579.8,2025-03-18
668,757,card,1557.64,2023-01-30
669,759,wallet,2588.07,2024-11-28
670,760,upi,9439.4,2025-08-11
671,761,card,342.26,2024-05-01
672,762,cod,4651.05,2024-04-16
673,764,upi,1474.95,2023-06-20
674,765,cod,547.15,2025-12-02
675,766,upi,1240.4,2025-02-12
676,767,card,1595.13,2025-09-15
677,768,card,619.74,2025-09-26
678,769,card,629.76,2024-03-18
679,770,upi,1247.6,2025-11-10
680,771,card,1215.1,2025-03-08
681,772,wallet,873.63,2024-12-03
682,773,upi,3137.4,2023-06-11
683,776,upi,1406.6,2023-07-09
684,778,upi,3007.66,2024-07-03
685,779,card,5568.51,2023-10-08
686,780,card,5299.4,2023-11-03
687,781,cod,1488.2,2024-03-23
688,782,upi,1602.06,2023-06-16
689,783,wallet,1208.28,2023-12-16
690,784,upi,451.55,2024-03-22
691,785,card,10072.55,2023-11-08
692,786,card,1955.82,2023-10-10
693,787,cod,1850.37,2024-04-18
694,788,upi,2992.2,2024-12-31
695,789,card,1248.14,2023-03-13
696,790,card,1125.32,2023-12-30
697,791,upi,3980.58,2023-11-28
698,792,upi,1240.4,2024-11-07
699,793,wallet,3592.38,2023-04-29
700,794,upi,3761.97,2023-05-30
701,795,wallet,1237.68,2025-11-22
702,796,wallet,735.74,2024-09-30
703,797,card,5333.49,2024-11-13
704,798,card,1990.96,2023-07-26
705,799,upi,3053.49,2023-01-21
706,801,card,5073.8,2023-02-23
707,802,cod,1178.7,2024-02-07
708,803,wallet,1443.96,2023-10-29
709,804,upi,267.57,2025-12-04
710,805,cod,3053.49,2023-02-21
711,807,card,2215.87,2023-04-13
712,808,wallet,5206.44,2023-01-10
713,809,card,302.07,2024-07-15
714,810,wallet,2992.2,2024-03-25
715,812,upi,2625.0,2025-12-06
716,813,cod,6491.36,2025-04-09
717,814,card,663.92,2023-09-02
718,817,card,4528.32,2025-08-24
719,818,upi,2785.9,2023-04-04
720,819,upi,618.13,2025-08-11
721,820,cod,1073.84,2024-11-22
722,821,upi,3761.97,2025-05-19
723,822,card,4725.3,2025-03-14
724,824,upi,4348.62,2025-08-31
725,825,upi,465.37,2023-02-22
726,826,card,443.63,2025-11-17
727,827,card,1632.33,2023-03-06
728,828,upi,4890.36,2024-12-30
729,830,upi,7692.76,2024-12-10
730,831,cod,667.39,2025-11-14
731,832,upi,2315.58,2025-03-15
732,833,upi,1444.22,2024-07-30
733,834,wallet,7168.72,2025-01-26
734,835,upi,1860.6,2024-02-13
735,836,upi,6285.8,2023-06-30
736,837,cod,2413.14,2023-06-20
737,838,upi,1369.04,2023-11-17
738,839,wallet,550.26,2025-10-22
739,840,upi,3289.38,2024-05-05
740,841,card,6787.89,2025-01-28
741,842,card,2496.28,2024-01-06
742,843,upi,1045.8,2025-07-27
743,845,upi,2176.2,2023-11-05
744,846,card,2785.9,2023-03-07
745,848,wallet,561.48,2023-08-18
746,849,upi,1952.66,2025-04-27
747,850,upi,1084.78,2023-06-29
748,851,wallet,1506.0,2025-06-28
749,852,cod,3253.1,2025-02-07
